Date,In,Out
2016-1-1,163838,196060 
2016-1-2,169436,171064 
2016-1-3,183683,156701 
2016-1-4,141992,132192 
2016-1-5,129930,128359 
2016-1-6,129065,128417 
2016-1-7,133480,134162 
2016-1-8,156751,165670 
2016-1-9,171556,173903 
2016-1-10,159029,152784 
2016-1-11,137936,135832 
2016-1-12,132987,133191 
2016-1-13,135258,136611 
2016-1-14,141480,148113 
2016-1-15,172667,207054 
2016-1-16,154276,159882 
2016-1-17,179810,152055 
2016-1-18,152505,146312 
2016-1-19,145655,144769 
2016-1-20,158492,158038 
2016-1-21,158383,158491 
2016-1-22,178774,184578 
2016-1-23,171101,171331 
2016-1-24,157957,155357 
2016-1-25,150674,149991 
2016-1-26,155836,156818 
2016-1-27,155903,154843 
2016-1-28,158187,158669 
2016-1-29,177292,176953 
2016-1-30,185314,186133 
2016-1-31,175142,181063 
2016-2-1,166379,169044 
2016-2-2,160783,163333 
2016-2-3,160105,166146 
2016-2-4,157897,173338 
2016-2-5,147664,187299 
2016-2-6,98635,136315 
2016-2-7,66205,90780 
2016-2-8,112734,122836 
2016-2-9,132556,136022 
2016-2-10,170902,159196 
2016-2-11,179407,159865 
2016-2-12,189095,161448 
2016-2-13,197905,170368 
2016-2-14,187285,159654 
2016-2-15,150065,139888 
2016-2-16,146731,143625 
2016-2-17,151563,149216 
2016-2-18,151303,148761 
2016-2-19,172249,172549 
2016-2-20,180398,178917 
2016-2-21,184817,182605 
2016-2-22,143876,142353 
2016-2-23,139673,140119 
2016-2-24,142601,142788 
2016-2-25,143371,145924 
2016-2-26,177035,197769 
2016-2-27,186064,197351 
2016-2-28,202261,201806 
2016-2-29,187368,165586 
2016-3-1,141352,134896 
2016-3-2,136602,135764 
2016-3-3,139345,139908 
2016-3-4,167906,177570 
2016-3-5,185214,188894 
2016-3-6,174690,170274 
2016-3-7,138353,135738 
2016-3-8,134638,135937 
2016-3-9,135795,136233 
2016-3-10,143819,144321 
2016-3-11,175718,188122 
2016-3-12,184712,189993 
2016-3-13,186987,176169 
2016-3-14,142970,139283 
2016-3-15,136901,136498 
2016-3-16,136392,136886 
2016-3-17,140381,141135 
2016-3-18,175439,187858 
2016-3-19,177673,181329 
2016-3-20,183481,174558 
2016-3-21,146239,142505 
2016-3-22,135402,135182 
2016-3-23,140820,140898 
2016-3-24,144263,144441 
2016-3-25,178358,191798 
2016-3-26,188739,191309 
